date,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västragötaland,Örebro,Östergötland,compartment
2020-08-01,2.66445131202653,4.54657862744232,2.57193972334976,2.04265160037567,3.54692090538128,1.68133210423323,3.08869962426514,3.1310654468224,4.15033821593936,1.90648444252804,3.15220182133365,2.95533380257644,NA,3.41411774417226,1.94889575745633,5.18593130025672,2.86442733483654,2.7983422764238,3.45990188358243,3.26156262179138,2.57239142911679,mid
2020-08-02,1.95856875128235,2.99906657957855,1.52870164650342,1.60156514006246,2.27592702887123,1.21109551382144,2.23259819020115,2.11991706008908,2.76104292183469,1.50372572751291,2.10914085433648,2.03143059544943,NA,2.23330740819842,1.58508536032794,3.72445145688991,1.9705277012457,1.99621504371598,2.41862895740167,2.25191179234447,2.11625725170231,mid
2020-08-03,1.57179788917632,2.00306634099253,1.22135144500827,1.29145525438776,1.87029021137554,2.21875528789745,1.7335969285572,1.71247892638403,2.10019730716038,1.42067629342991,1.69006456499989,1.65080091562197,1.64024232235604,1.81905128824654,1.45055287791891,2.53635964675075,1.60478763547456,1.71592851245055,1.84172082271814,1.80418465414377,2.54638440813254,mid
2020-08-04,1.81099374149083,1.8367922861136,1.33675784712351,1.16111497618281,1.55624652377487,1.71401530237222,1.57030700771215,1.36127750359661,1.82073868059374,1.15914279084247,1.40980852533518,1.44855117574363,1.21690417558785,1.76734548933618,1.30921626494406,1.82022437566389,1.22911959791933,1.71590293877521,1.50616450733882,1.44228029825689,2.15946240141207,mid
2020-08-05,1.73786286566357,2.1346861925351,1.45795972048581,0.94500030856502,1.62926317025925,1.6007440551501,1.47610182490665,1.07322608774101,1.40247710171005,0.919370051531102,1.32578828074961,1.3387069916241,0.956902010732165,1.48484437190884,2.11494872659016,1.44861236930402,1.35533050599244,1.27403714471536,1.41397769370177,1.46796040811405,1.96632462814103,mid
2020-08-06,2.0050755604466,2.07911206512698,0.988868552262341,1.20987956130452,1.50201235374202,1.4039951665577,1.30222313863206,0.803405079474062,1.87247872191264,0.846931846121225,1.15632825180181,1.29583061302672,1.05049132278441,1.24465286383036,2.58212652750099,1.18942342178736,1.10229587650747,1.21702957725968,1.33918112275383,1.55895594040024,1.70505078071816,mid
2020-08-07,2.31604218539381,1.5297399149631,1.06008480819933,1.0628353504233,1.53581140091133,1.26874853247596,1.28088215497571,0.788006279059687,2.03212821830499,1.05213932429172,1.09668532055095,1.23063512633212,1.45755662886544,1.2786139296076,2.89107528903666,1.29185807340125,0.940343212691091,1.05007907477522,1.36541988794275,1.189974491255,1.53918195225376,mid
2020-08-08,2.18654218396209,1.36970109324646,1.02974529529214,1.72208091520198,1.39438728589622,1.18074236652905,1.20233152506738,0.878461110518705,2.03608904302697,1.08259518843022,1.07424727458126,1.12216353121405,1.74778638151477,1.22770222099857,2.70547239613234,0.557467078324916,1.10173461625231,0.906618855160729,1.15119244771869,1.21388834289148,1.39557218589439,mid
2020-08-09,1.87291402511965,1.36227347414603,1.38808277748323,1.68068421783296,1.28313333657019,1.12540388829881,1.18644119349521,1.07105021616232,1.72136992686891,1.05800991958828,1.01126166209879,1.12793518922933,1.68364214827444,1.12774656282563,2.14441531936918,0.543880205330237,1.09970098493114,0.887276846807688,1.07642731065617,1.14629052506482,1.35908924570497,mid
2020-08-10,1.84388970702907,1.36978992162084,1.45114011504415,1.55091303755415,1.25520103975465,0.654811658660135,1.11101091029281,1.12465161908536,1.68077716271702,1.05415711916582,0.997566030676415,1.13769208602529,1.53123573273034,1.05863406211532,1.72734779750267,0.566937761578912,1.07013665924745,0.961205788296662,1.04685612757136,1.04072392706039,1.03338284616985,mid
2020-08-11,1.70264465940842,1.21625166300737,1.30464569051221,1.69426174476656,1.46142699158782,0.647109234781119,1.04717100132972,1.2207944671552,1.73732335091081,0.961833004825111,1.09212508948779,1.13920106958593,1.80009618287496,0.867156295787934,1.51171025922614,1.18944910283906,0.924824953669065,0.863929345421096,1.02427570243885,1.13753278211124,1.02647158447854,mid
2020-08-12,1.77100738138876,0.939547879466219,0.888217560405783,1.7326156841016,1.18356288414809,0.673751725701603,0.982775148372032,1.66278143306216,1.89338111273527,1.04084087672048,1.11760636933483,1.17378369513462,2.02483140533603,0.931380171454617,1.26222304282163,1.73077609930304,0.784319243657322,0.927046764399479,0.979268874238534,1.18202624151078,0.881230075591888,mid
2020-08-13,1.63244688016708,0.94318723470491,0.899914064458469,1.48349473070621,1.04078785667661,0.48843016190875,0.958235140272411,2.04672216200467,1.51129383794453,1.04628069747517,1.13978274500626,1.10890186537844,1.64155060046315,1.03724679527659,1.11248974112625,2.51910387320383,0.817489026594429,0.875335291807182,0.959622373801317,0.961489697426457,0.85238286355081,mid
2020-08-14,1.31202657032355,1.02240401286783,0.886300281884354,1.55377468259268,0.840638943276397,0.94453483902604,0.881032468448205,1.80996989561707,1.30701427619134,0.925106530019546,1.05668585722594,1.16506148348885,1.28217592112224,0.813428308158425,0.879622398743554,2.95132019689618,0.737938841938892,0.972361811871233,0.889687293187978,0.95812611855543,0.998133128251934,mid
2020-08-15,1.15572420132751,0.947316500122986,1.10254611615212,1.00046296449618,0.820286236491372,1.28585487583787,0.968562453805238,1.57331924225081,1.12088637944201,1.05272723434751,1.01810652339949,1.14428857656767,1.1444038586181,0.971010636917044,0.815827706363719,2.59114817763057,0.631888026534191,1.07486086266689,0.829555805095061,0.873155233577742,1.1351958007939,mid
