date,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland Härjedalen,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra Götaland,Örebro,Östergötland,compartment
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-26,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,6,0,0,Iinc
2020-03-04,0,0,0,2,1,0,2,0,0,0,22,140,0,5,11,0,0,0,24,4,0,Iinc
2020-03-11,10,5,2,5,41,21,37,7,15,6,177,230,21,33,21,13,11,5,146,5,27,Iinc
2020-03-18,2,17,3,17,17,34,15,5,3,14,32,407,43,37,8,16,3,16,78,33,124,Iinc
2020-03-25,9,70,6,52,31,26,56,19,15,29,46,962,107,84,10,18,22,29,116,48,202,Iinc
2020-04-01,15,102,3,106,43,11,133,21,21,35,70,1347,295,147,6,74,33,110,240,84,333,Iinc
2020-04-08,6,159,2,108,53,42,105,19,47,54,99,1416,208,158,23,58,36,190,444,227,286,Iinc
2020-04-15,1,138,3,121,52,81,153,28,75,55,100,1409,210,200,25,56,34,165,421,224,201,Iinc
2020-04-22,21,198,12,109,88,63,182,43,88,41,131,1430,211,212,33,59,67,171,611,247,186,Iinc
2020-04-29,10,115,22,112,58,81,160,40,91,36,181,1265,187,188,70,35,67,120,623,238,133,Iinc
2020-05-06,11,164,10,176,93,80,156,43,147,30,200,1206,131,248,64,35,77,83,851,218,130,Iinc
2020-05-13,18,85,3,170,77,102,168,30,129,38,198,1135,83,180,53,52,98,116,828,176,130,Iinc
2020-05-20,44,84,5,152,101,97,162,24,115,22,233,902,74,195,83,49,143,115,732,172,155,Iinc
2020-05-27,68,83,11,165,125,94,224,73,105,56,254,1191,89,245,126,35,135,144,873,119,65,Iinc
2020-06-03,82,99,10,231,136,81,218,56,81,88,251,1203,97,309,110,35,154,173,2140,180,287,Iinc
2020-06-10,82,75,21,280,152,74,636,71,73,182,303,1375,142,247,115,40,118,282,2444,132,279,Iinc
2020-06-17,38,60,20,240,122,88,767,71,34,256,412,1730,103,317,84,51,154,268,1828,118,312,Iinc
2020-06-24,27,167,27,370,240,54,786,63,25,341,310,1609,174,400,93,61,157,212,1935,88,316,Iinc
2020-07-01,16,178,13,231,163,37,339,85,10,110,128,1130,73,184,45,34,162,177,914,66,184,Iinc
2020-07-08,11,58,14,232,56,21,177,34,19,101,124,482,67,61,20,13,118,100,364,47,60,Iinc
2020-07-15,8,52,19,89,35,22,105,14,27,45,154,395,45,60,9,24,70,50,320,28,51,Iinc
2020-07-22,3,30,24,63,31,19,60,17,19,39,141,329,18,22,15,8,59,35,336,22,26,Iinc
2020-07-29,11,27,21,22,60,10,63,16,28,25,155,295,9,40,14,18,37,39,583,40,43,Iinc
2020-08-05,33,48,34,35,99,19,81,14,62,24,184,363,12,53,57,8,40,39,670,51,88,Iinc
2020-08-12,46,37,22,43,91,18,68,26,90,24,248,416,16,51,46,42,21,41,580,45,81,Iinc
2020-08-19,22,42,8,34,99,2,62,41,46,7,299,353,9,64,27,14,27,36,397,32,66,Iinc
2020-08-26,15,56,3,28,76,12,32,24,43,10,287,239,10,35,12,13,10,21,233,13,28,Iinc
2020-09-02,3,57,1,23,93,22,78,9,38,5,198,253,2,34,27,7,6,32,296,86,62,Iinc
2020-09-09,4,79,3,42,79,9,132,8,60,7,218,305,16,75,20,23,16,50,300,75,71,Iinc
2020-09-16,14,164,5,37,84,18,105,11,88,15,291,537,23,69,27,42,18,56,337,85,54,Iinc
2020-09-23,77,88,3,73,107,27,96,11,112,28,260,923,39,105,21,96,25,199,489,59,81,Iinc
2020-09-30,72,101,16,75,156,56,114,14,76,74,413,1252,38,226,50,54,30,123,402,158,142,Iinc
2020-10-07,61,84,15,78,155,124,198,21,69,96,365,1502,54,285,34,58,38,116,537,258,130,Iinc
2020-10-14,31,161,14,61,138,106,274,37,121,92,633,1656,99,505,80,50,41,120,706,331,364,Iinc
2020-10-21,65,213,33,104,195,60,271,102,312,125,1318,2957,136,349,116,71,56,180,1372,608,512,Iinc
2020-10-28,141,444,68,240,467,53,892,187,466,225,2232,5749,395,883,202,250,129,468,2983,1000,1000,Iinc
2020-11-04,161,621,186,485,557,138,1078,318,706,538,2721,7695,615,1015,359,635,332,831,4065,1225,1124,Iinc
2020-11-11,224,691,233,765,986,278,1280,462,725,589,4574,9489,719,1357,419,686,589,1086,4187,1221,759,Iinc
2020-11-18,251,631,174,1017,539,446,1297,448,555,736,4336,9521,796,1430,465,762,906,1263,4578,1219,574,Iinc
2020-11-25,365,797,232,1211,778,356,1063,658,623,904,5694,11126,609,1398,467,896,1205,1336,4361,887,594,Iinc
2020-12-02,458,839,320,1400,1064,323,1061,618,541,678,7249,10464,564,1397,552,808,1175,1331,4468,741,786,Iinc
2020-12-09,556,1019,235,1559,1194,355,1215,729,711,715,9161,11298,708,1512,633,986,1208,1285,6782,788,982,Iinc
2020-12-16,621,1135,196,2506,1198,411,1428,846,938,560,9342,10446,760,1631,646,935,1300,1163,8221,818,1076,Iinc
2020-12-23,700,975,121,1260,1118,345,1167,764,748,430,8972,7461,743,1204,500,646,821,1030,6429,811,889,Iinc
2020-12-30,914,987,115,1432,2026,402,1401,920,988,515,9195,6277,800,1362,613,742,1000,867,8192,867,1708,Iinc
2021-01-06,788,714,152,1271,2239,404,1396,1079,1037,539,10055,5802,836,1120,433,662,748,1081,6782,840,1469,Iinc
2021-01-13,621,608,83,620,1502,269,1044,725,683,636,7137,3755,504,690,345,396,617,572,6001,615,1512,Iinc
2021-01-20,379,511,57,506,1153,248,1021,559,628,578,5225,3545,412,694,266,388,520,540,4256,582,1154,Iinc
2021-01-27,214,342,30,433,1128,215,1036,429,603,463,4099,3505,331,560,307,437,512,417,4155,424,1014,Iinc
2021-02-03,211,307,20,592,1043,251,941,350,464,458,3431,3222,321,561,349,796,571,345,4146,377,848,Iinc
2021-02-10,151,332,27,715,1173,222,1065,300,509,485,3156,3998,358,710,342,1033,470,341,4720,388,787,Iinc
2021-02-17,173,380,15,908,1182,265,1079,439,453,740,3223,5076,458,725,410,1269,400,369,4763,439,847,Iinc
2021-02-24,121,482,33,1171,1399,331,1196,545,343,825,2903,6330,596,730,383,1153,381,351,5942,567,899,Iinc
2021-03-03,170,580,64,1497,1686,367,1136,625,310,1117,2868,6665,694,792,576,1063,422,468,4887,737,1015,Iinc
2021-03-10,179,790,63,1391,1615,370,1400,614,226,735,2516,7640,729,912,638,784,513,550,5223,695,972,Iinc
2021-03-17,211,925,69,1382,1776,434,1655,852,320,979,2959,8242,988,1247,756,792,643,597,6173,886,1146,Iinc
2021-03-24,303,1134,107,1506,2205,358,1731,1281,327,650,3526,9017,1176,1429,859,624,812,764,7500,1206,1365,Iinc
2021-03-31,384,1097,99,1200,1928,404,1547,1126,455,945,3403,9741,1344,1702,902,467,1045,834,6647,1547,1567,Iinc
2021-04-07,455,1474,154,1604,1711,618,1620,1375,705,1051,4106,9373,1492,1802,1159,647,1425,923,6372,1693,1383,Iinc
2021-04-14,592,1134,182,1210,1468,590,1325,1345,805,1086,3895,9522,1275,1764,1066,664,1570,922,6936,1462,2223,Iinc
2021-04-21,658,1161,130,1010,1079,520,1107,1195,988,918,3801,8008,1039,1639,941,654,1512,823,5448,1222,2177,Iinc
2021-04-28,555,1021,79,776,858,494,1170,1219,1046,945,4257,8343,1001,1356,784,688,1255,745,5305,1199,2210,Iinc
2021-05-05,455,897,105,906,777,519,1204,1198,1081,1047,4284,7627,893,1198,709,681,1074,1010,5090,1080,1843,Iinc
2021-05-12,292,744,96,691,552,369,801,768,821,1019,3621,5589,743,789,417,522,644,646,4416,954,1420,Iinc
2021-05-19,208,490,67,448,490,290,679,505,450,1007,2492,3386,449,490,312,441,417,402,3641,641,865,Iinc
2021-05-26,119,261,28,217,231,136,263,215,276,620,772,1478,300,274,213,234,245,222,1141,300,429,Iinc
2021-06-02,98,204,22,152,348,75,532,247,187,592,1343,1423,162,399,456,181,173,153,1929,180,238,Iinc
2021-06-09,83,102,15,68,125,34,211,104,172,355,566,709,72,120,465,113,75,128,612,109,156,Iinc
2021-06-16,58,55,7,27,58,6,133,96,101,450,344,430,41,95,325,60,31,79,348,42,62,Iinc
2021-06-23,39,41,12,13,54,10,101,47,84,279,248,319,29,36,236,41,21,51,234,41,47,Iinc
2021-06-30,19,38,5,51,77,9,81,22,56,127,203,382,39,55,186,52,30,28,292,59,59,Iinc
2021-07-07,11,22,10,28,63,28,68,22,26,41,177,450,37,60,58,29,19,19,250,36,60,Iinc
2021-07-14,14,28,9,27,76,7,44,23,37,49,288,646,37,52,48,27,12,16,372,23,48,Iinc
2021-07-21,15,13,25,40,118,12,49,44,56,44,404,1030,32,70,72,47,27,27,444,41,51,Iinc
2021-07-28,9,36,93,51,160,45,58,47,34,101,464,1256,98,86,73,43,50,75,499,66,116,Iinc
2021-08-04,36,70,134,78,156,39,106,46,55,57,485,1749,89,126,156,245,57,156,579,81,109,Iinc
2021-08-11,56,113,101,153,191,68,142,79,54,67,640,2043,116,157,140,295,69,192,807,147,187,Iinc
2021-08-18,51,116,51,91,253,86,232,138,81,61,920,2083,116,182,122,202,66,212,1016,176,208,Iinc
2021-08-25,60,170,55,120,224,58,173,128,136,15,1000,1936,102,169,128,153,70,215,1347,180,246,Iinc
2021-09-01,100,182,25,140,214,70,223,147,170,46,1145,2079,171,175,129,114,72,243,1343,177,272,Iinc
2021-09-08,87,244,31,140,239,57,228,129,175,79,1028,2192,158,196,113,196,62,210,1820,302,282,Iinc
2021-09-15,42,215,12,103,214,62,214,102,90,47,753,1760,84,203,54,243,64,195,1396,187,219,Iinc
2021-09-22,33,123,7,57,115,32,141,41,53,103,474,1279,70,140,66,287,31,187,775,141,150,Iinc
2021-09-29,22,108,3,109,91,39,150,75,55,130,402,1324,117,156,33,254,29,237,621,171,105,Iinc
2021-10-06,23,59,4,163,105,25,81,66,48,189,346,1309,140,198,38,188,52,212,625,172,94,Iinc
2021-10-13,28,95,5,132,79,24,112,68,97,152,399,1140,168,142,34,201,84,218,592,155,144,Iinc
2021-10-20,47,122,2,117,91,37,136,144,97,169,601,1483,197,180,78,158,82,411,720,143,179,Iinc
2021-10-27,37,130,1,200,94,47,125,176,48,220,631,1581,178,291,112,197,71,491,904,172,204,Iinc
2021-11-03,77,77,7,155,103,16,89,201,64,164,644,1356,120,175,126,184,77,372,729,212,112,Iinc
2021-11-10,95,59,15,195,190,31,129,210,59,162,907,1511,136,222,174,180,81,380,649,323,111,Iinc
2021-11-17,81,116,62,260,250,40,133,233,75,85,1074,1790,136,278,209,138,116,485,1064,348,120,Iinc
